TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,Player_ID,PLAYER_NAME,MINS,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TOV,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,PACE,PACE_PER40,POSS,PIE,Game_ID
1610612754,IND,Indiana,1626167,Myles Turner,29.55,104.8,134.9,-30.1,0,0,0,0.037,0.143,0.091,6.7,0.5,0.623,0.224,101.52,84.6,62,0.087,22400554
1610612754,IND,Indiana,1641767,Ben Sheppard,32.03,121.7,125.7,-4,0.063,2,18.2,0,0.097,0.048,9.1,0.25,0.427,0.115,104.14,86.78,69,0.027,22400554
1610612754,IND,Indiana,1629614,Andrew Nembhard,32.97,102.9,130.9,-28,0.409,4.5,36,0.03,0.097,0.063,8,0.333,0.352,0.203,99.74,83.11,69,0.08,22400554
1610612754,IND,Indiana,1630167,Obi Toppin,19.65,107,109.3,-2.3,0.231,3,23.1,0,0.13,0.065,7.7,0.556,0.556,0.2,105.04,87.53,43,0.132,22400554
1610612754,IND,Indiana,1641716,Jarace Walker,17.90,100,115.8,-15.8,0.111,0,10,0.056,0.222,0.139,0,0.563,0.619,0.214,100.56,83.8,37,0.132,22400554
1610612754,IND,Indiana,204456,T.J. McConnell,21.27,120.8,112.2,8.6,0.471,0,42.1,0.04,0,0.022,0,0.455,0.455,0.193,109.47,91.22,48,0.111,22400554
1610612754,IND,Indiana,1628418,Thomas Bryant,16.97,126.3,116.7,9.6,0.063,0.5,12.5,0.095,0.167,0.128,25,0.8,0.8,0.149,104.68,87.23,38,0.098,22400554
1610612754,IND,Indiana,1642484,RayJ Dennis,1.48,133.3,0,133.3,0,0,0,0,0,0,0,0,0.532,0.667,97.08,80.9,3,0.8,22400554
1610612754,IND,Indiana,1642277,Johnny Furphy,1.48,133.3,0,133.3,0,0,0,0,0,0,0,0,0,0,97.08,80.9,3,0,22400554
1610612754,IND,Indiana,201949,James Johnson,1.48,133.3,0,133.3,0,0,0,0,0,0,0,0,0,0,97.08,80.9,3,0,22400554
1610612761,TOR,Toronto,1629628,RJ Barrett,37.83,122.5,139.5,-17,0.152,1.25,20,0,0.147,0.078,16,0.6,0.613,0.225,102.11,85.1,80,0.081,22400517
1610612761,TOR,Toronto,1630567,Scottie Barnes,37.82,120.8,129.9,-9.1,0.276,2.67,24.2,0.059,0.222,0.143,9.1,0.55,0.551,0.284,97.73,81.45,77,0.136,22400517
1610612761,TOR,Toronto,1627751,Jakob Poeltl,33.82,130.6,130.6,0,0.188,0,33.3,0.13,0.129,0.13,0,0.8,0.723,0.156,102.22,85.18,72,0.125,22400517
1610612761,TOR,Toronto,1641711,Gradey Dick,21.35,122.9,122.4,0.5,0.05,1,9.1,0,0.05,0.029,9.1,0.611,0.611,0.2,109.07,90.89,48,0.046,22400517
1610612761,TOR,Toronto,1630193,Immanuel Quickley,30.33,119.7,138.7,-19,0.269,3.5,36.8,0,0,0,10.5,0.5,0.5,0.169,97.3,81.08,61,0.037,22400517
1610612761,TOR,Toronto,1642347,Jamal Shead,14.60,150,128.1,21.9,0.231,3,27.3,0,0,0,9.1,1.071,1.071,0.25,101.96,84.97,30,0.166,22400517
1610612761,TOR,Toronto,1628449,Chris Boucher,26.68,149,129.4,19.6,0,0,0,0.158,0.36,0.273,0,0.821,0.821,0.233,91.72,76.43,51,0.204,22400517
1610612761,TOR,Toronto,1642266,Ja'Kobe Walter,15.40,144.8,123.3,21.5,0.059,0,25,0,0,0,0,0.75,0.694,0.088,91.99,76.66,29,0.013,22400517
1610612761,TOR,Toronto,1630558,Davion Mitchell,15.80,113.3,146.9,-33.5,0.154,0,50,0.071,0.053,0.061,0,0.5,0.5,0.057,94.2,78.5,30,0.058,22400517
1610612761,TOR,Toronto,203482,Kelly Olynyk,6.38,145.5,133.3,12.1,0.143,1,50,0,0,0,50,0,0,0.077,86.57,72.14,11,-0.031,22400517
1610612739,CLE,Cleveland,1629731,Dean Wade,28.65,144.1,125.9,18.2,0.069,2,22.2,0.04,0.2,0.111,11.1,0.417,0.417,0.106,98.01,81.68,59,0.038,22400517
1610612739,CLE,Cleveland,1630596,Evan Mobley,32.22,133.8,137.5,-3.7,0.286,3,27.3,0.129,0.292,0.2,9.1,0.773,0.77,0.213,96.1,80.08,65,0.155,22400517
1610612739,CLE,Cleveland,1628386,Jarrett Allen,28.50,129.5,118.3,11.2,0.136,0,21.4,0.214,0.36,0.283,0,0.889,0.836,0.155,101.89,84.91,61,0.198,22400517
1610612739,CLE,Cleveland,1627747,Caris LeVert,36.43,130.1,128.8,1.4,0.185,5,26.3,0.027,0.067,0.045,5.3,0.667,0.699,0.165,96.18,80.15,73,0.093,22400517
1610612739,CLE,Cleveland,1629636,Darius Garland,35.62,147.3,121.3,26,0.36,3,23.7,0,0.071,0.034,7.9,0.727,0.77,0.341,100.4,83.67,74,0.194,22400517
1610612739,CLE,Cleveland,1629660,Ty Jerome,20.12,117.5,143.9,-26.4,0.067,1,11.1,0.111,0,0.063,11.1,0.4,0.592,0.178,96.64,80.53,40,0.073,22400517
1610612739,CLE,Cleveland,1629622,Max Strus,24.93,133.3,137.3,-3.9,0.158,1.5,25,0.048,0.059,0.053,16.7,0.857,0.857,0.153,98.18,81.82,51,0.088,22400517
1610612739,CLE,Cleveland,1627777,Georges Niang,13.43,119.2,163,-43.7,0.125,1,10,0,0,0,10,0.5,0.5,0.29,94.69,78.91,26,0.013,22400517
1610612739,CLE,Cleveland,1630171,Isaac Okoro,7.53,140,100,40,0.111,0,16.7,0.083,0.1,0.091,0,0,0,0.238,95.58,79.65,15,-0.108,22400517
1610612739,CLE,Cleveland,1630241,Sam Merrill,12.57,152,100,52,0,0,0,0,0,0,0,0.25,0.25,0.129,95.49,79.58,25,-0.083,22400517
1610612766,CHA,Charlotte,1630182,Josh Green,22.33,102.1,124.5,-22.4,0.053,1,16.7,0.038,0,0.023,16.7,0,0,0.094,103.2,86,47,-0.014,22400488
1610612766,CHA,Charlotte,1628970,Miles Bridges,26.48,103.6,120.3,-16.7,0.176,3,16.7,0.033,0.269,0.143,5.6,0.393,0.393,0.25,103.3,86.09,55,0.077,22400488
1610612766,CHA,Charlotte,1631109,Mark Williams,28.33,110.2,127.6,-17.4,0.05,0.5,9.1,0.032,0.364,0.17,18.2,0.571,0.661,0.147,99.11,82.59,59,0.096,22400488
1610612766,CHA,Charlotte,1641706,Brandon Miller,31.67,89.6,131.8,-42.3,0.143,2,11.1,0.027,0.033,0.03,5.6,0.786,0.783,0.213,100.8,84,67,0.132,22400488
1610612766,CHA,Charlotte,1630163,LaMelo Ball,33.20,111.3,119.4,-8.2,0.182,1.33,12.9,0.028,0.057,0.042,9.7,0.425,0.501,0.338,103.4,86.17,71,0.063,22400488
1610612766,CHA,Charlotte,1628998,Cody Martin,21.58,125.6,91.3,34.3,0.333,2.5,41.7,0.045,0.185,0.122,16.7,0.8,0.8,0.135,98.97,82.47,43,0.219,22400488
1610612766,CHA,Charlotte,1630208,Nick Richards,8.12,62.5,89.5,-27,0,0,0,0.083,0.25,0.167,0,0,0,0.105,103.6,86.33,16,0.065,22400488
1610612766,CHA,Charlotte,203995,Vasilije Micic,5.35,45.5,118.2,-72.7,0,0,0,0,0,0,50,0,0,0.143,98.69,82.24,11,-0.111,22400488
1610612766,CHA,Charlotte,1642275,Tidjane SalaÃ¼n,22.57,106.5,89.6,16.9,0.077,0.5,8.3,0.2,0.138,0.167,16.7,0.313,0.338,0.193,99.97,83.31,46,0.07,22400488
1610612766,CHA,Charlotte,1642354,KJ Simpson,13.03,103.7,96.3,7.4,0,0,0,0.071,0,0.037,33.3,0.25,0.25,0.182,99.44,82.86,27,-0.093,22400488
